request_id,requester_role,clearance_level,device_managed,device_posture_score,mfa_passed,source_zone,target_zone,target_sensitivity,access_type,off_hours,change_ticket
REQ-000048,engineer,3,1,81,1,corporate,corporate,2,read,0,1
REQ-000049,engineer,3,1,72,1,corporate,corporate,3,write,0,0
REQ-000050,admin,1,1,66,1,vpn,corporate,1,write,0,1
REQ-000051,admin,3,1,55,0,vpn,corporate,1,read,0,1
REQ-000052,contractor,3,1,56,1,corporate,corporate,1,read,0,1
REQ-000053,admin,3,1,88,1,corporate,ot_network,3,write,0,0
REQ-000054,contractor,3,1,89,1,corporate,corporate,2,read,0,0
REQ-000055,contractor,4,1,85,1,guest,restricted,4,read,0,0
REQ-000056,engineer,3,1,97,1,vpn,restricted,1,admin,1,0
REQ-000057,admin,2,0,57,1,vpn,restricted,2,admin,0,1
REQ-000058,engineer,4,1,60,1,corporate,corporate,1,write,0,0
REQ-000059,admin,3,1,77,1,corporate,corporate,3,read,1,1
REQ-000060,analyst,1,1,65,1,corporate,corporate,3,write,0,0
REQ-000061,contractor,4,1,75,1,corporate,ot_network,2,admin,1,0
REQ-000062,analyst,2,1,100,1,corporate,restricted,3,read,1,1
REQ-000063,contractor,3,1,65,1,vpn,ot_network,3,admin,0,1
REQ-000064,contractor,3,1,55,1,corporate,corporate,1,read,0,0
REQ-000065,contractor,2,0,79,1,guest,corporate,4,read,0,0
REQ-000066,analyst,4,0,61,1,corporate,restricted,1,read,0,0
REQ-000067,analyst,3,1,87,1,guest,restricted,1,read,0,0
REQ-000068,analyst,2,1,78,1,vpn,restricted,3,read,0,0
REQ-000069,analyst,4,1,66,1,corporate,corporate,3,read,1,0
REQ-000070,engineer,1,1,68,1,corporate,ot_network,4,write,1,1
REQ-000071,contractor,2,1,85,1,corporate,ot_network,1,write,0,1
REQ-000072,engineer,1,1,63,1,corporate,ot_network,1,read,0,1
REQ-000073,admin,2,0,82,1,vpn,ot_network,1,write,0,1
REQ-000074,admin,3,0,88,1,corporate,corporate,3,admin,0,1
REQ-000075,contractor,4,1,78,1,corporate,corporate,1,read,0,0
REQ-000076,contractor,1,1,85,0,corporate,corporate,1,read,1,1
REQ-000077,engineer,3,1,78,1,corporate,restricted,2,write,1,0
REQ-000078,engineer,2,1,69,1,corporate,restricted,3,write,1,0
REQ-000079,contractor,3,0,57,1,corporate,corporate,3,read,0,1
REQ-000080,admin,3,1,84,1,corporate,corporate,1,read,0,0
REQ-000081,analyst,4,1,70,0,corporate,corporate,2,write,0,1
REQ-000082,engineer,2,1,61,1,guest,restricted,4,admin,1,1
REQ-000083,admin,3,1,67,1,vpn,corporate,1,write,0,1
REQ-000084,analyst,3,0,98,1,vpn,corporate,2,admin,0,0
REQ-000085,contractor,3,1,72,1,guest,restricted,3,read,1,1
REQ-000086,admin,4,0,84,1,vpn,ot_network,1,read,0,0
REQ-000087,admin,3,1,89,1,corporate,corporate,3,read,0,1
REQ-000088,engineer,4,1,67,1,guest,corporate,1,write,1,0
REQ-000089,admin,1,1,57,1,corporate,ot_network,2,write,0,1
REQ-000090,analyst,2,1,87,0,corporate,restricted,3,read,0,0
REQ-000091,admin,3,1,73,1,guest,corporate,3,read,0,1
REQ-000092,contractor,3,0,75,0,corporate,ot_network,1,admin,0,1
REQ-000093,analyst,1,1,79,1,corporate,ot_network,1,write,1,0
REQ-000094,engineer,3,1,74,1,corporate,corporate,1,read,0,1
REQ-000095,analyst,4,1,82,1,vpn,restricted,2,read,0,0
REQ-000096,engineer,2,1,85,1,corporate,corporate,1,admin,0,1
REQ-000097,analyst,2,0,71,1,vpn,corporate,2,read,0,0
REQ-000098,admin,1,1,93,1,guest,corporate,1,read,1,0
REQ-000099,engineer,3,1,76,1,corporate,corporate,1,read,0,1
REQ-000100,admin,2,1,99,1,corporate,ot_network,2,admin,0,1
REQ-000101,analyst,3,1,77,1,corporate,ot_network,2,admin,1,1
REQ-000102,analyst,4,1,76,1,vpn,ot_network,4,read,0,0
REQ-000103,analyst,1,1,70,1,corporate,ot_network,2,read,0,0
REQ-000104,contractor,4,1,92,1,guest,corporate,4,admin,0,0
REQ-000105,engineer,3,1,83,1,guest,restricted,2,read,0,0
REQ-000106,analyst,4,1,68,1,corporate,ot_network,2,write,0,0
REQ-000107,admin,2,1,84,1,corporate,corporate,4,write,0,1
REQ-000108,contractor,3,1,67,0,guest,corporate,3,read,0,0
REQ-000109,contractor,3,1,69,1,corporate,ot_network,1,admin,1,1
REQ-000110,analyst,2,1,67,1,corporate,ot_network,1,write,0,1
REQ-000111,contractor,2,0,55,1,corporate,corporate,3,read,0,0
REQ-000112,contractor,3,1,74,0,vpn,restricted,1,read,0,0
REQ-000113,engineer,2,1,88,1,corporate,ot_network,4,write,0,1
REQ-000114,engineer,1,1,89,1,vpn,corporate,1,admin,0,0
REQ-000115,engineer,3,1,73,1,corporate,corporate,2,admin,0,0
REQ-000116,contractor,4,0,86,1,vpn,ot_network,2,admin,0,0
REQ-000117,admin,3,1,95,0,corporate,restricted,3,read,0,1
REQ-000118,analyst,3,1,82,1,corporate,corporate,2,read,0,1
REQ-000119,admin,4,1,97,1,vpn,corporate,3,admin,0,0
REQ-000120,analyst,2,1,73,1,corporate,corporate,2,read,0,0
REQ-000121,contractor,1,1,61,1,vpn,corporate,4,read,1,1
REQ-000122,admin,2,1,86,1,corporate,corporate,1,read,0,0
REQ-000123,admin,3,0,69,1,corporate,ot_network,1,read,0,0
REQ-000124,analyst,3,1,74,1,corporate,corporate,3,admin,0,0
REQ-000125,contractor,4,1,79,1,vpn,restricted,1,read,0,0
REQ-000126,admin,3,1,86,1,vpn,ot_network,2,write,1,0
REQ-000127,analyst,1,1,59,1,vpn,corporate,3,write,0,0
REQ-000128,engineer,2,1,71,1,corporate,corporate,2,write,0,0
REQ-000129,analyst,4,0,82,1,corporate,corporate,3,read,0,1
REQ-000130,engineer,3,1,87,1,corporate,corporate,2,read,0,0
REQ-000131,admin,4,1,61,1,guest,restricted,1,read,0,1
REQ-000132,analyst,1,1,87,1,corporate,ot_network,2,write,0,1
REQ-000133,engineer,3,1,72,1,corporate,corporate,1,write,1,1
REQ-000134,analyst,3,1,91,1,guest,ot_network,2,read,0,1
REQ-000135,contractor,2,1,57,1,corporate,corporate,3,write,1,1
REQ-000136,contractor,4,1,57,1,guest,corporate,1,write,0,0
REQ-000137,analyst,4,1,63,1,guest,corporate,2,read,0,0
REQ-000138,contractor,3,1,89,0,vpn,ot_network,1,read,0,0
REQ-000139,engineer,1,1,71,1,corporate,corporate,3,admin,0,1
REQ-000140,engineer,4,0,77,1,corporate,corporate,4,read,1,0
REQ-000141,engineer,1,1,100,1,guest,corporate,1,read,1,1
REQ-000142,contractor,2,1,73,1,corporate,corporate,1,write,1,1
REQ-000143,engineer,4,0,84,1,corporate,corporate,3,write,1,0
REQ-000144,contractor,3,1,88,1,guest,corporate,1,read,0,0
REQ-000145,admin,2,0,70,1,vpn,ot_network,3,read,0,0
REQ-000146,analyst,3,1,59,1,guest,corporate,1,write,0,0
REQ-000147,analyst,3,1,93,1,guest,corporate,3,admin,0,0
REQ-000148,contractor,1,1,58,1,vpn,corporate,1,read,1,0
REQ-000149,contractor,4,1,100,1,guest,corporate,1,admin,0,0
REQ-000150,admin,2,1,87,1,corporate,ot_network,1,read,0,0
REQ-000151,contractor,4,1,89,0,vpn,ot_network,1,read,0,1
REQ-000152,analyst,3,1,62,1,guest,corporate,1,write,0,0
REQ-000153,analyst,3,1,81,1,corporate,corporate,2,read,1,0
REQ-000154,analyst,3,0,91,1,corporate,corporate,1,read,1,0
REQ-000155,contractor,3,1,91,1,guest,corporate,3,write,0,0
REQ-000156,contractor,3,1,95,1,guest,corporate,2,read,0,1
REQ-000157,contractor,2,1,75,1,vpn,corporate,1,read,0,1
REQ-000158,contractor,3,0,94,0,guest,ot_network,2,read,1,0
REQ-000159,analyst,2,0,81,0,vpn,corporate,1,admin,0,1
REQ-000160,analyst,4,1,58,1,vpn,corporate,1,read,0,0
REQ-000161,engineer,4,1,88,1,vpn,corporate,1,write,0,0
REQ-000162,engineer,3,1,74,1,corporate,corporate,4,read,1,0
REQ-000163,engineer,2,1,78,1,vpn,ot_network,3,read,0,1
REQ-000164,contractor,1,1,92,1,vpn,corporate,1,write,0,0
REQ-000165,contractor,3,0,74,1,vpn,corporate,3,read,1,0
REQ-000166,contractor,4,0,72,1,guest,corporate,3,read,1,1
REQ-000167,engineer,3,1,64,1,corporate,corporate,3,read,0,0
REQ-000168,admin,4,1,68,1,corporate,ot_network,4,read,1,1
REQ-000169,analyst,2,1,59,1,corporate,ot_network,4,read,0,1
REQ-000170,engineer,4,1,79,0,vpn,corporate,3,admin,0,0
REQ-000171,admin,3,1,75,0,vpn,corporate,1,admin,0,1
REQ-000172,engineer,1,1,92,1,corporate,corporate,4,admin,1,0
REQ-000173,contractor,3,1,82,1,corporate,corporate,1,read,0,1
REQ-000174,engineer,3,1,87,1,corporate,restricted,1,write,1,1
REQ-000175,contractor,4,1,61,1,corporate,corporate,3,read,0,0
REQ-000176,engineer,4,1,97,0,vpn,restricted,2,write,0,0
REQ-000177,analyst,2,1,74,1,corporate,corporate,1,read,0,0
REQ-000178,contractor,3,1,88,1,corporate,restricted,4,read,1,0
REQ-000179,analyst,1,1,74,0,guest,corporate,1,read,1,0
REQ-000180,contractor,4,1,58,1,vpn,ot_network,2,admin,0,1
REQ-000181,analyst,2,1,91,1,corporate,restricted,1,write,0,0
REQ-000182,analyst,2,0,95,1,vpn,ot_network,1,write,0,0
REQ-000183,admin,3,1,68,1,corporate,corporate,1,write,0,1
REQ-000184,analyst,4,0,91,1,corporate,corporate,3,read,0,1
REQ-000185,contractor,3,1,56,1,guest,corporate,3,admin,1,0
REQ-000186,admin,3,1,67,1,vpn,restricted,4,read,0,0
REQ-000187,analyst,3,1,66,1,vpn,ot_network,2,read,0,0
REQ-000188,admin,3,1,96,1,vpn,corporate,1,write,0,0
REQ-000189,analyst,4,1,83,1,corporate,ot_network,2,read,0,0
REQ-000190,admin,4,1,56,1,corporate,restricted,3,write,0,0
REQ-000191,admin,3,0,80,0,corporate,ot_network,1,read,0,0
REQ-000192,admin,3,1,83,1,guest,corporate,3,admin,1,0
REQ-000193,contractor,4,1,73,1,guest,corporate,1,read,1,0
REQ-000194,engineer,2,1,88,0,corporate,ot_network,2,read,0,0
REQ-000195,admin,3,1,58,1,guest,corporate,2,write,1,0
REQ-000196,admin,3,1,72,0,corporate,restricted,3,read,0,1
REQ-000197,admin,3,1,82,0,corporate,corporate,2,write,0,0
REQ-000198,admin,2,1,68,1,corporate,ot_network,2,read,0,0
REQ-000199,contractor,4,1,89,1,corporate,restricted,4,read,1,0
REQ-000200,engineer,3,1,72,1,corporate,ot_network,1,read,0,1
REQ-000201,analyst,2,1,63,1,corporate,restricted,3,read,0,0
REQ-000202,admin,3,1,82,1,corporate,corporate,2,write,0,0
REQ-000203,engineer,3,1,56,1,vpn,ot_network,4,write,0,1
REQ-000204,analyst,2,1,59,0,corporate,ot_network,1,write,1,1
REQ-000205,contractor,4,0,92,1,corporate,corporate,2,write,0,1
REQ-000206,contractor,4,0,90,1,vpn,corporate,2,admin,0,0
REQ-000207,analyst,4,1,88,1,corporate,ot_network,3,read,0,1
REQ-000208,engineer,1,0,93,1,guest,ot_network,3,read,0,1
REQ-000209,contractor,2,1,83,1,corporate,ot_network,4,read,0,1
REQ-000210,engineer,3,1,68,0,vpn,corporate,2,read,0,1
REQ-000211,contractor,2,1,77,1,corporate,ot_network,1,read,0,0
REQ-000212,contractor,2,1,80,0,corporate,corporate,3,write,1,1
REQ-000213,engineer,2,1,75,1,vpn,corporate,2,write,1,0
REQ-000214,admin,4,1,88,1,corporate,corporate,1,admin,0,1
REQ-000215,analyst,3,0,66,1,corporate,corporate,3,read,1,0
REQ-000216,contractor,4,1,58,1,corporate,restricted,3,read,0,1
REQ-000217,admin,4,1,100,1,corporate,restricted,1,write,0,1
REQ-000218,analyst,1,1,87,1,corporate,corporate,3,write,0,1
REQ-000219,admin,1,1,83,1,corporate,corporate,3,write,0,1
REQ-000220,contractor,3,1,69,1,vpn,corporate,2,write,0,1
REQ-000221,contractor,3,1,58,1,corporate,ot_network,3,admin,0,0
REQ-000222,analyst,1,1,92,1,corporate,corporate,1,write,0,0
REQ-000223,engineer,4,1,58,1,vpn,corporate,2,write,0,0
REQ-000224,admin,4,1,87,1,corporate,ot_network,1,read,1,0
REQ-000225,contractor,1,1,91,1,corporate,corporate,2,admin,0,1
REQ-000226,admin,4,1,89,0,vpn,ot_network,2,read,0,0
REQ-000227,engineer,3,1,60,0,vpn,ot_network,4,read,0,1
REQ-000228,analyst,2,1,63,0,vpn,corporate,1,write,0,1
REQ-000229,engineer,1,0,76,0,corporate,restricted,1,read,0,0
REQ-000230,engineer,3,1,88,0,vpn,corporate,3,read,1,0
REQ-000231,contractor,1,1,57,1,guest,ot_network,4,write,0,1
REQ-000232,admin,3,1,55,1,corporate,corporate,1,read,0,0
REQ-000233,analyst,1,1,92,1,corporate,corporate,1,read,0,1
REQ-000234,engineer,4,1,85,1,vpn,ot_network,4,read,0,0
REQ-000235,engineer,2,0,90,1,vpn,corporate,4,read,0,0
REQ-000236,contractor,4,1,66,1,vpn,restricted,1,write,0,0
REQ-000237,contractor,2,1,71,0,corporate,corporate,2,write,0,0
REQ-000238,contractor,3,1,55,1,corporate,corporate,1,write,0,0
REQ-000239,analyst,2,1,64,1,corporate,ot_network,2,read,1,0
REQ-000240,analyst,3,0,77,1,corporate,ot_network,1,read,0,0
REQ-000241,analyst,1,1,86,1,vpn,restricted,2,admin,1,0
REQ-000242,contractor,3,1,86,1,corporate,corporate,2,read,0,0
REQ-000243,analyst,3,0,77,1,corporate,corporate,1,read,0,0
REQ-000244,contractor,3,1,97,1,corporate,restricted,4,write,0,1
REQ-000245,contractor,4,1,78,0,corporate,restricted,3,admin,1,0
REQ-000246,engineer,1,1,55,1,corporate,corporate,2,read,0,0
REQ-000247,engineer,1,1,78,1,corporate,corporate,2,read,0,1
REQ-000248,contractor,2,1,68,1,vpn,corporate,2,write,0,0
REQ-000249,analyst,2,1,64,1,corporate,ot_network,2,write,0,1
REQ-000250,engineer,3,0,84,1,corporate,corporate,1,admin,0,0
REQ-000251,contractor,2,1,75,1,guest,corporate,4,admin,0,0
REQ-000252,contractor,3,0,72,1,vpn,ot_network,2,read,1,0
REQ-000253,contractor,3,1,81,0,vpn,ot_network,2,write,1,1
REQ-000254,engineer,1,0,64,0,corporate,ot_network,1,read,0,1
REQ-000255,analyst,3,1,72,0,corporate,corporate,4,write,1,0
REQ-000256,admin,4,1,87,0,guest,ot_network,1,admin,1,0
REQ-000257,analyst,2,1,87,1,corporate,corporate,2,write,0,0
REQ-000258,analyst,1,1,73,1,guest,ot_network,4,admin,0,1
REQ-000259,analyst,4,1,80,1,vpn,corporate,4,write,0,1
REQ-000260,admin,1,1,100,1,corporate,corporate,2,read,0,0
REQ-000261,engineer,2,0,66,1,vpn,corporate,4,read,0,0
REQ-000262,contractor,4,1,78,0,guest,ot_network,1,read,1,0
REQ-000263,admin,2,1,98,0,vpn,corporate,2,write,0,0
REQ-000264,contractor,1,1,76,1,vpn,corporate,2,read,0,0
REQ-000265,engineer,1,1,84,1,guest,corporate,1,read,0,0
REQ-000266,analyst,4,1,81,0,vpn,restricted,4,read,0,0
REQ-000267,contractor,1,1,60,1,corporate,corporate,2,write,0,0
REQ-000268,admin,2,1,96,1,guest,corporate,1,admin,0,1
REQ-000269,analyst,3,1,63,1,vpn,corporate,2,admin,0,1
REQ-000270,engineer,3,0,92,1,corporate,corporate,3,read,0,0
REQ-000271,analyst,2,1,90,0,guest,restricted,1,read,1,0
REQ-000272,contractor,4,1,62,1,vpn,corporate,4,write,0,0
REQ-000273,analyst,3,1,77,1,guest,corporate,3,admin,0,0
REQ-000274,engineer,2,1,56,1,vpn,corporate,2,admin,1,0
REQ-000275,analyst,2,1,55,0,corporate,ot_network,4,admin,0,0
REQ-000276,engineer,2,1,55,1,corporate,ot_network,1,write,0,0
REQ-000277,contractor,3,1,81,1,vpn,corporate,2,read,0,0
REQ-000278,engineer,3,1,78,1,corporate,corporate,2,admin,0,0
REQ-000279,admin,3,0,83,1,corporate,corporate,2,read,1,0
REQ-000280,admin,2,1,64,1,corporate,corporate,3,admin,0,1
REQ-000281,analyst,2,1,96,1,guest,ot_network,1,write,0,0
REQ-000282,analyst,3,0,83,1,vpn,ot_network,1,read,0,0
REQ-000283,contractor,3,1,70,0,vpn,corporate,4,write,0,1
REQ-000284,contractor,1,1,61,1,corporate,corporate,2,read,0,0
REQ-000285,analyst,3,1,89,1,corporate,corporate,1,read,0,1
REQ-000286,analyst,4,0,63,1,corporate,corporate,2,read,0,0
REQ-000287,engineer,2,1,93,1,corporate,corporate,1,write,0,0
REQ-000288,analyst,3,1,84,0,corporate,corporate,1,read,0,0
REQ-000289,contractor,4,1,71,1,corporate,restricted,3,read,0,0
REQ-000290,engineer,1,1,70,1,corporate,restricted,2,write,1,1
REQ-000291,engineer,3,1,78,1,corporate,corporate,1,write,1,0
REQ-000292,admin,3,1,82,1,corporate,corporate,1,admin,1,0
REQ-000293,admin,4,1,60,0,corporate,ot_network,2,write,1,1
REQ-000294,analyst,3,1,95,0,corporate,ot_network,3,read,0,1
REQ-000295,engineer,3,1,81,1,corporate,restricted,3,write,0,0
REQ-000296,engineer,4,1,69,1,corporate,corporate,4,read,0,1
REQ-000297,admin,4,1,94,1,vpn,restricted,3,write,0,1
REQ-000298,analyst,3,1,71,1,vpn,ot_network,2,write,0,1
REQ-000299,analyst,4,1,56,1,corporate,ot_network,3,write,0,0
REQ-000300,analyst,3,1,86,1,vpn,ot_network,3,write,0,0
REQ-000301,analyst,4,1,65,1,corporate,restricted,1,read,0,1
REQ-000302,engineer,3,1,98,1,vpn,corporate,3,write,0,0
REQ-000303,engineer,3,1,84,1,corporate,corporate,1,admin,1,0
REQ-000304,analyst,4,1,93,0,corporate,corporate,1,read,0,0
REQ-000305,engineer,4,1,76,1,vpn,restricted,3,admin,0,0
REQ-000306,analyst,4,1,76,1,guest,ot_network,3,read,1,0
REQ-000307,engineer,4,1,85,1,corporate,restricted,2,admin,1,0
REQ-000308,contractor,3,0,73,1,corporate,corporate,1,read,0,0
REQ-000309,analyst,3,1,70,1,vpn,ot_network,1,read,0,0
REQ-000310,admin,4,1,62,1,guest,corporate,2,read,0,0
REQ-000311,contractor,4,1,85,1,corporate,corporate,4,read,0,1
REQ-000312,contractor,4,1,99,1,guest,corporate,1,admin,0,1
REQ-000313,admin,3,1,62,0,guest,corporate,2,read,0,0
REQ-000314,analyst,2,1,66,1,corporate,corporate,2,read,0,0
REQ-000315,engineer,4,1,85,1,corporate,corporate,3,read,0,0
REQ-000316,engineer,3,1,55,0,vpn,corporate,3,read,1,1
REQ-000317,contractor,3,1,89,1,corporate,corporate,3,write,0,1
REQ-000318,admin,4,1,69,1,corporate,restricted,2,read,0,1
REQ-000319,engineer,3,1,60,1,corporate,corporate,1,read,0,1
REQ-000320,admin,2,1,92,1,corporate,ot_network,3,admin,1,0
REQ-000321,engineer,3,1,95,1,vpn,corporate,1,read,0,0
REQ-000322,admin,3,0,78,1,vpn,corporate,4,write,0,0
REQ-000323,analyst,2,1,65,1,corporate,corporate,3,read,1,1
REQ-000324,engineer,3,1,90,0,vpn,corporate,1,write,0,0
REQ-000325,admin,3,1,65,1,corporate,ot_network,3,read,0,1
REQ-000326,engineer,1,1,80,1,vpn,restricted,3,read,0,1
REQ-000327,contractor,3,1,74,0,guest,ot_network,2,write,0,1
REQ-000328,admin,3,1,74,0,vpn,corporate,2,admin,1,1
REQ-000329,analyst,2,1,95,1,corporate,corporate,4,read,1,1
REQ-000330,analyst,2,1,97,1,corporate,corporate,3,write,0,0
REQ-000331,contractor,3,1,98,1,vpn,corporate,1,write,0,0
REQ-000332,analyst,4,1,99,1,guest,corporate,1,read,0,1
REQ-000333,analyst,1,1,61,0,vpn,corporate,1,read,0,1
REQ-000334,contractor,2,1,79,1,corporate,ot_network,4,admin,0,0
REQ-000335,engineer,1,1,89,1,guest,corporate,1,write,0,1
REQ-000336,contractor,2,1,82,1,guest,ot_network,2,write,1,0
REQ-000337,admin,1,0,74,1,corporate,ot_network,2,read,1,1
REQ-000338,engineer,1,1,76,1,corporate,corporate,2,read,0,1
REQ-000339,admin,2,1,63,1,corporate,corporate,1,write,1,0
REQ-000340,contractor,3,1,96,1,corporate,corporate,1,write,0,1
REQ-000341,engineer,4,1,81,1,corporate,corporate,2,read,1,0
REQ-000342,analyst,4,1,81,1,vpn,restricted,1,admin,0,0
REQ-000343,analyst,2,1,85,1,corporate,corporate,1,write,1,0
REQ-000344,analyst,3,1,62,0,vpn,corporate,2,admin,0,0
REQ-000345,contractor,2,1,68,1,corporate,ot_network,2,write,1,1
REQ-000346,engineer,1,1,67,1,corporate,ot_network,4,admin,0,0
REQ-000347,engineer,4,1,68,1,corporate,ot_network,2,read,0,0
REQ-000348,analyst,4,1,69,1,guest,restricted,1,write,0,0
REQ-000349,admin,3,1,85,1,corporate,restricted,1,admin,0,1
REQ-000350,admin,2,1,55,0,corporate,corporate,2,admin,0,0
REQ-000351,analyst,3,1,62,1,corporate,corporate,1,read,0,0
REQ-000352,analyst,4,1,66,1,corporate,corporate,1,read,0,0
REQ-000353,contractor,3,1,73,0,vpn,restricted,2,read,0,1
REQ-000354,engineer,2,0,61,0,corporate,restricted,3,write,1,1
REQ-000355,analyst,1,1,55,1,corporate,restricted,2,write,0,1
REQ-000356,analyst,3,1,83,1,vpn,corporate,3,write,0,0
REQ-000357,engineer,4,1,79,0,vpn,ot_network,3,admin,0,0
REQ-000358,engineer,4,1,68,1,vpn,ot_network,2,write,0,0
REQ-000359,admin,3,1,66,0,corporate,corporate,1,read,0,1
REQ-000360,engineer,3,0,98,1,corporate,restricted,1,read,0,1
REQ-000361,contractor,1,1,72,0,corporate,restricted,3,write,0,1
REQ-000362,analyst,1,1,69,1,corporate,corporate,2,admin,0,1
REQ-000363,analyst,3,1,74,0,corporate,corporate,4,write,0,0
REQ-000364,admin,3,0,91,0,vpn,corporate,3,write,0,0
REQ-000365,contractor,3,1,57,1,vpn,ot_network,1,read,0,1
REQ-000366,analyst,4,0,63,1,corporate,corporate,1,admin,1,1
REQ-000367,engineer,4,0,80,1,corporate,corporate,1,admin,0,1
REQ-000368,contractor,3,1,77,1,vpn,ot_network,2,admin,1,0
REQ-000369,engineer,4,1,70,1,corporate,ot_network,3,write,0,1
REQ-000370,analyst,2,1,71,0,corporate,corporate,2,write,0,0
REQ-000371,contractor,4,1,80,1,vpn,ot_network,1,read,1,1
REQ-000372,contractor,4,1,71,0,vpn,ot_network,1,read,1,0
REQ-000373,engineer,4,1,96,1,corporate,corporate,2,read,0,0
REQ-000374,analyst,4,1,70,1,guest,corporate,1,read,1,1
REQ-000375,engineer,3,1,75,1,vpn,ot_network,2,read,0,1
REQ-000376,contractor,3,1,55,1,vpn,corporate,3,admin,0,1
REQ-000377,analyst,1,1,87,1,corporate,ot_network,1,read,0,1
REQ-000378,admin,2,1,58,1,corporate,corporate,1,write,1,0
REQ-000379,contractor,4,1,63,1,corporate,corporate,1,write,0,0
REQ-000380,admin,2,1,62,0,guest,corporate,2,read,0,0
REQ-000381,engineer,3,1,61,1,guest,corporate,4,write,1,1
REQ-000382,admin,4,1,69,1,corporate,ot_network,4,read,1,0
REQ-000383,contractor,4,1,72,1,corporate,corporate,1,write,0,1
REQ-000384,analyst,4,1,93,1,corporate,ot_network,4,write,0,0
REQ-000385,contractor,2,1,72,1,corporate,restricted,3,write,0,0
REQ-000386,analyst,1,1,56,1,vpn,corporate,1,read,0,0
REQ-000387,admin,3,1,59,1,corporate,corporate,4,admin,0,0
REQ-000388,contractor,2,1,85,1,vpn,corporate,2,write,1,1
REQ-000389,analyst,4,1,77,0,corporate,corporate,3,write,0,0
REQ-000390,engineer,4,1,57,1,corporate,corporate,3,read,0,0
REQ-000391,analyst,1,1,75,1,corporate,corporate,3,read,1,1
REQ-000392,engineer,3,1,97,1,corporate,corporate,3,read,0,1
REQ-000393,analyst,4,1,95,1,corporate,corporate,4,read,1,0
REQ-000394,contractor,4,1,79,1,guest,corporate,2,read,1,0
REQ-000395,engineer,3,1,81,1,corporate,corporate,1,write,1,1
